id|createTime|deleteTime|isBlocked|type|nickname|phonenum|email|freqLoginType|lastLoginTime|accountLevel|inDegree|OutDegree|isExplicitDeleted|Owner
4794646677434662912|1634103394566|1652209519821|false|custodial account|Anderson Ohler|901-5944|gmail.com|IPv6|1645670629917|Gold level|1|8|true|PERSON
4904140443375108097|1667697102002|1893196800000|false|trust account|Desmond Tail|296-4549|gmx.com|PHONE|1673485346674|Basic level|2|2|false|PERSON
4913429117606559746|1670565171658|1893196800000|false|custodial account|Wallace Bertrum|312-2693|gmail.com|ATM|1715689749273|Elite level|1|2|false|PERSON
4680086361913425923|1598897025025|1663626255119|false|debit card|Dinah Creekbaum|432-1578|nabeul.info|WIFI|1611241294145|Basic level|1|1|true|PERSON
4753832805811617796|1621541529670|1893196800000|false|escrow account|Lura Halek|936-8330|yahoo.com|IPv4|1887377343223|Silver level|2|1|false|PERSON
4860511821984956421|1654361866831|1893196800000|false|debit card|Jose Macnevin|665-1305|gmail.com|WIFI|1842943271629|Basic level|1|1|false|PERSON
4905829293235372038|1668262737936|1893196800000|false|debit card|Janet Kachel|068-3568|yahoo.com|RFID|1712735195956|Basic level|1|1|false|PERSON
4907236668118925319|1668715860778|1671362994663|false|retirement account|Jeannette Wierschem|627-0402|gmx.com|IPv6|1668741877808|Basic level|1|3|true|PERSON
4873178195936935944|1658218972382|1663931027357|false|custodial account|Adolph Trailor|279-3416|gmail.com|MAC|1659067198264|Basic level|1|1|true|PERSON
4912021742723006473|1670127522049|1893196800000|false|brokerage account|Barbra Krepps|014-8375|yahoo.com|QRCode|1797009387931|Basic level|1|1|false|PERSON
4917369767280508938|1671824026208|1672332357142|false|custodial account|Jess Hiner|680-3709|yahoo.com|WIFI|1672323142834|Basic level|1|15|true|PERSON
4885281619935494155|1661973415398|1670563766578|false|retirement account|Salvador Heholt|262-9572|gmail.com|IPv4|1666648716805|Platinum level|1|1|true|PERSON
4873459670913646604|1658293344267|1893196800000|false|internet account|Agustin Brundage|427-9109|yahoo.com|QRCode|1825722337821|Silver level|1|1|false|PERSON
4915680917420245005|1671290845365|1671473952448|false|merchant account|Melynda Mazzone|013-4812|yahoo.com|IPv6|1671440460848|Basic level|1|2|true|PERSON
4899073893794316302|1666185768417|1893196800000|false|certificate of deposit|Adam Schilawski|899-7271|hotmail.com|MAC|1824589721151|Basic level|116|3|false|PERSON
4880778020308123663|1660570516870|1893196800000|false|merchant account|Carlo Mcclendon|341-1198|hotmail.com|NFC|1743168084442|Basic level|1|1|false|PERSON
4894007344213524496|1664578355834|1893196800000|false|trust account|Corliss Beman|834-2487|hotmail.com|QRCode|1713445623546|Basic level|4|1|false|PERSON
4693878635772248081|1603161029255|1893196800000|false|merchant account|Monty Mckemie|480-2535|gmx.com|NFC|1849400373915|Silver level|2|1|false|PERSON
4898510943840894994|1665989659251|1893196800000|false|retirement account|Alejandro Wasmus|302-6749|gmail.com|NFC|1772100702224|Basic level|1|5|false|PERSON
4901325693608001555|1666892142254|1893196800000|false|retirement account|Kim Chantler|566-4160|gmx.com|MAC|1723327637628|Basic level|7|1|false|PERSON
4692189785911984148|1602602461622|1893196800000|false|merchant account|Aurelio Luvianos|442-0803|gmail.com|RFID|1643146836267|Basic level|1|1|false|PERSON
