id|createTime|deleteTime|isBlocked|type|nickname|phonenum|email|freqLoginType|lastLoginTime|accountLevel|inDegree|OutDegree|isExplicitDeleted|Owner
4908079993537429504|1668942202895|1893196800000|false|trust account|Hester Mackert|277-5342|yahoo.com|IPv4|1749949787368|Basic level|8|2|false|PERSON
4883028720610181121|1661281987274|1662441707995|false|internet account|Philip Olecki|352-7805|gmail.com|RFID|1661615949425|Silver level|1|4|true|PERSON
4888939695121104898|1663094851531|1893196800000|false|corporate account|Randee Arman|299-1017|hotmail.com|NFC|1813814255921|Silver level|1|2|false|PERSON
4878525120982810627|1659851370456|1893196800000|false|prepaid card|Billye Scranton|733-1472|gmx.com|PHONE|1865054740297|Gold level|1|1|false|PERSON
4830111424988577796|1644996082245|1893196800000|false|brokerage account|Dorian Youd|970-0532|gmail.com|IPv4|1667985405992|Basic level|2|1|false|PERSON
4915961292885327877|1671371943731|1893196800000|false|certificate of deposit|Sanford Galano|957-0331|gmail.com|IPv6|1882652020951|Basic level|2|2|false|PERSON
4862481047310303238|1654938684162|1893196800000|false|debit card|Jen Mcclafferty|269-0133|zoho.com|ATM|1846083374411|Basic level|1|1|false|PERSON
4906672618653876231|1668531072079|1893196800000|true|trust account|Neville Derastel|933-4632|gmail.com|MAC|1679680259470|Basic level|1|1|false|PERSON
4916242767862038536|1671462883936|1893196800000|false|credit card|Kieth Momplaisir|729-4384|gmail.com|QRCode|1764473942324|Elite level|2|1|false|PERSON
4854036798008983561|1652340590061|1893196800000|false|escrow account|Roderick Buman|966-2494|gmail.com|QRCode|1740613289380|Basic level|1|1|false|PERSON
4823356025547522058|1642947061704|1893196800000|false|trust account|Rico Bonepart|668-2525|hotmail.com|WIFI|1711709400939|Basic level|1|10|false|PERSON
4886969370284130315|1662444614622|1893196800000|false|retirement account|Toney Betz|699-0967|gmail.com|WIFI|1698297756319|Silver level|1|1|false|PERSON
4874865946285572108|1658715614545|1893196800000|false|debit card|Leonel Gagnier|107-0449|yahoo.com|QRCode|1855543724177|Basic level|1|6|false|PERSON
4901324594096373773|1666891585097|1893196800000|false|foreign currency|Galen Eames|662-6927|gmail.com|ATM|1703939405936|Gold level|1|1|false|PERSON
4883591670563602446|1661448746507|1670071743513|false|prepaid card|Forrest Foxwell|899-6684|yahoo.com|IPv4|1669429269311|Basic level|1|1|true|PERSON
4915398342931906575|1671193815150|1671652881038|false|corporate account|Colton Leeper|304-3771|gmail.com|PHONE|1671562039737|Gold level|1|1|true|PERSON
4875147421262282768|1658844053814|1660320414106|false|internet account|Lidia Bonesteel|135-9534|gmx.com|WIFI|1659536208844|Diamond level|1|1|true|PERSON
4860229247496618001|1654273683768|1893196800000|false|foreign currency|Landon Zarzuela|839-4612|gmail.com|QRCode|1765165986748|Gold level|3|1|false|PERSON
4848688773451481106|1650735263107|1893196800000|false|credit card|Deane Mccaa|496-6726|gmx.com|IPv6|1713527813652|Silver level|1|1|false|PERSON
4790423453272375315|1632782499494|1893196800000|false|prepaid card|Stephaine Nau|873-3583|gmail.com|QRCode|1707913703167|Basic level|2|1|false|PERSON
4915398342931906580|1671220443016|1893196800000|false|debit card|Hal Brilhante|883-8537|zoho.com|WIFI|1759249477843|Gold level|1|1|false|PERSON
4914553918001774613|1670928611486|1893196800000|false|trust account|Tuyet Vaughn|983-2794|gmail.com|ATM|1720902216730|Silver level|1|1|false|PERSON
4802526877270933526|1636548250308|1893196800000|false|retirement account|Scot Brobst|899-5947|gmx.com|NFC|1844228754688|Basic level|1|1|false|PERSON
4857977447682932759|1653547302182|1893196800000|false|merchant account|Reginald Schmidgall|621-5316|gmail.com|QRCode|1844485585019|Platinum level|1|1|false|PERSON
4829829950011867160|1644867234768|1893196800000|false|prepaid card|Allan Frawkin|392-2782|gmail.com|POS|1874933567874|Basic level|2|1|false|PERSON
4796334427783299097|1634585062127|1660107655267|false|credit card|Frederica Seggerman|230-3002|gmx.com|WIFI|1651679984367|Gold level|2|1|true|PERSON
